Total in C0 1790927 
Total in C1 3404438 
Total in C2 2407685
C_0	C_1	C_2
3	0	9
5	1	16
8	2	26
10	4	28
12	6	30
14	7	40
24	11	41
32	13	43
42	15	44
54	17	47
55	18	56
57	19	59
62	20	61
64	21	63
67	22	65
79	23	68
80	25	69
81	27	70
84	29	74
87	31	75
89	33	76
92	34	85
95	35	90
97	36	91
101	37	96
103	38	100
106	39	104
107	45	105
114	46	110
116	48	111
117	49	112
119	50	113
135	51	120
137	52	122
139	53	128
142	58	130
143	60	132
144	66	134
147	71	141
150	72	145
166	73	148
168	77	151
169	78	157
174	82	159
175	83	160
179	86	161
180	88	162
184	93	164
187	94	165
190	98	167
192	99	172
195	102	173
196	108	176
204	109	182
209	115	186
210	118	191
214	121	193
220	123	194
225	124	197
226	125	198
229	126	199
236	127	202
242	129	203
245	131	207
253	133	212
268	136	213
273	138	215
279	140	217
280	146	219
289	149	221
292	152	222
296	153	230
297	154	232
299	155	234
303	156	235
306	158	243
321	163	244
327	170	246
328	171	248
342	177	249
343	178	251
345	181	254
347	183	255
353	185	256
359	188	257
362	189	258
364	200	260
371	201	265
373	205	266
376	206	271
387	208	272
389	211	274
393	216	275
395	218	281
398	223	285
400	224	286
403	227	287
408	228	293
412	231	295
415	233	300
417	237	307
428	238	308
429	239	315
434	240	316
435	241	318
439	247	320
445	250	322
450	252	326
454	259	336
460	261	341
461	262	349
462	263	354
473	264	355
475	267	357
485	269	358
486	270	365
487	276	368
490	277	369
491	278	370
494	282	374
497	283	375
498	284	377
499	288	380
501	290	381
503	291	383
504	294	386
517	298	388
523	301	390
525	302	394
528	304	397
530	305	399
531	309	402
533	310	406
536	311	413
539	312	414
541	313	416
542	314	423
544	317	427
545	319	431
547	323	437
551	324	438
554	325	442
556	329	443
558	330	448
561	331	449
563	332	451
566	333	453
571	334	457
574	335	459
578	337	463
579	338	464
582	339	467
588	340	468
592	344	471
593	346	476
595	348	478
596	350	479
599	351	481
602	352	482
613	356	484
615	360	493
618	361	495
623	363	506
627	366	508
629	367	512
631	372	513
633	378	515
634	379	519
638	382	520
646	384	522
657	385	534
660	391	548
669	392	549
671	396	550
679	401	553
680	404	555
682	405	559
683	407	560
698	409	565
701	410	572
709	411	576
711	418	590
714	419	591
730	420	597
731	421	600
744	422	601
746	424	603
753	425	604
755	426	605
758	430	606
765	432	608
767	433	611
770	436	612
780	440	614
792	441	616
795	444	617
797	446	619
804	447	620
808	452	621
809	455	625
811	456	626
812	458	630
820	465	632
827	466	636
832	469	644
835	470	650
838	472	651
844	474	652
846	477	653
848	480	654
850	483	655
851	488	658
858	489	662
860	492	667
862	496	674
863	500	675
867	502	684
873	505	687
874	507	688
875	509	691
881	510	692
882	511	696
883	514	697
903	516	699
913	518	708
921	521	710
922	524	716
927	526	720
929	527	723
931	529	725
933	532	729
936	535	735
945	537	737
946	538	738
958	540	743
961	543	748
963	546	749
964	552	751
965	557	752
969	562	754
972	564	756
973	567	760
980	568	761
982	569	762
984	570	766
989	573	768
992	575	773
993	577	774
994	580	775
996	581	781
998	583	786
1002	584	787
1012	585	789
1014	586	791
1017	587	794
1021	589	799
1030	594	801
1031	598	810
1032	607	813
1046	609	815
1050	610	817
1052	622	819
1055	624	823
1057	628	825
1059	635	831
1061	637	833
1062	639	834
1066	640	836
1076	641	845
1077	642	853
1079	643	866
1093	645	869
1095	647	871
1096	648	876
1107	649	877
1111	656	878
1120	659	880
1125	661	887
1133	663	888
1139	664	889
1143	665	890
1145	666	893
1146	668	895
1156	670	896
1162	672	898
1172	673	900
1192	676	901
1193	677	902
1197	678	908
1199	681	909
1200	685	920
1201	686	940
1203	689	941
1207	690	943
1208	693	944
1212	694	948
1214	695	950
1217	700	952
1218	702	953
1226	703	954
1228	704	957
1239	705	960
1249	706	962
1252	707	971
1253	712	977
1254	713	978
1256	715	979
1258	717	981
1262	718	983
1268	719	985
1272	721	986
1276	722	987
1289	724	990
1291	726	995
1295	727	1003
1297	728	1004
1302	732	1005
1307	733	1007
1311	734	1008
1313	736	1011
1314	739	1013
1326	740	1015
1327	741	1016
1334	742	1020
1335	745	1022
1336	747	1023
1343	750	1026
1351	757	1027
1356	759	1029
1362	763	1036
1369	764	1037
1375	769	1039
1376	771	1042
1378	772	1049
1380	776	1058
1381	777	1064
1382	778	1070
1384	779	1071
1386	782	1073
1394	783	1074
1401	784	1075
1416	785	1080
1423	788	1081
1424	790	1082
1425	793	1083
1430	796	1085
1436	798	1086
1437	800	1089
1438	802	1090
1439	803	1092
1440	805	1094
1443	806	1097
1448	807	1098
1451	814	1101
1452	816	1104
1453	818	1113
1454	821	1115
1456	822	1116
1459	824	1117
1460	826	1118
1462	828	1119
1470	829	1122
1479	830	1123
1486	837	1126
1490	839	1128
1492	840	1130
1497	841	1136
1499	842	1141
1503	843	1147
1504	847	1149
1512	849	1150
1514	852	1152
1526	854	1157
1530	855	1158
1532	856	1159
1533	857	1160
1535	859	1168
1537	861	1169
1546	864	1173
1549	865	1174
1566	868	1175
1568	870	1182
1577	872	1184
1579	879	1187
1580	884	1195
1586	885	1196
1589	886	1202
1592	891	1204
1600	892	1205
1608	894	1206
1618	897	1210
1626	899	1213
1630	904	1220
1634	905	1225
1636	906	1229
1638	907	1230
1642	910	1232
1644	911	1234
1647	912	1236
1651	914	1240
1665	915	1248
1672	916	1255
1674	917	1269
1680	918	1271
1681	919	1274
1683	923	1281
1690	924	1285
1691	925	1286
1693	926	1288
1704	928	1292
1708	930	1299
1713	932	1304
1724	934	1316
1726	935	1319
1742	937	1320
1747	938	1324
1752	939	1325
1762	942	1329
1768	947	1330
1772	949	1338
1773	951	1339
1775	955	1340
1776	956	1342
1777	959	1348
1786	966	1350
1792	967	1352
1800	968	1354
1803	970	1357
1807	974	1358
1808	975	1364
1812	976	1365
1815	988	1366
1825	991	1367
1828	997	1370
1840	999	1373
1843	1000	1374
1845	1001	1377
1847	1006	1383
1861	1009	1385
1863	1010	1389
1875	1018	1390
1892	1019	1392
1896	1024	1393
1902	1025	1395
1905	1028	1397
1910	1033	1399
1923	1034	1400
1924	1035	1402
1925	1038	1403
1933	1040	1404
1934	1041	1407
1941	1043	1409
1952	1044	1410
1959	1045	1415
1961	1047	1419
1966	1048	1427
1975	1051	1432
1977	1053	1435
1980	1054	1445
1981	1056	1461
1986	1060	1463
1991	1063	1464
1995	1065	1465
1996	1067	1467
2003	1068	1468
2004	1069	1469
2005	1072	1471
2009	1078	1472
2011	1084	1476
2016	1087	1477
2027	1088	1478
2028	1091	1480
2041	1099	1482
2042	1100	1483
2048	1102	1485
2049	1103	1488
2062	1105	1489
2064	1106	1493
2065	1108	1495
2066	1109	1505
2071	1110	1517
2081	1112	1518
2088	1114	1519
2089	1121	1520
2092	1124	1521
2097	1127	1525
2104	1129	1527
2116	1131	1529
2122	1132	1531
2123	1134	1536
2125	1135	1539
2126	1137	1541
2127	1138	1544
2128	1140	1545
2134	1142	1547
2139	1144	1550
2143	1148	1551
2144	1151	1557
2149	1153	1558
2163	1154	1559
2164	1155	1560
2166	1161	1561
2169	1163	1562
2180	1164	1564
2184	1165	1565
2186	1166	1567
2188	1167	1571
2197	1170	1581
2206	1171	1582
2209	1176	1583
2215	1177	1588
2223	1178	1594
2230	1179	1595
2231	1180	1596
2232	1181	1597
2234	1183	1598
2237	1185	1602
2238	1186	1605
2240	1188	1613
2241	1189	1615
2246	1190	1616
2250	1191	1619
2251	1194	1620
2252	1198	1621
2255	1209	1623
2265	1211	1627
2272	1215	1632
2273	1216	1635
2279	1219	1639
2280	1221	1640
2282	1222	1643
2290	1223	1645
2291	1224	1646
2299	1227	1650
2300	1231	1653
2311	1233	1654
2316	1235	1658
